Year,InclusiveMood,NoRaceMood,InvalidMood
1981,0.487,,0.48
1982,0.452,,0.443
1983,0.448,0.506,0.44
1984,0.425,0.543,0.419
1985,0.429,0.540,0.423
1986,0.434,0.531,0.428
1987,0.435,0.458,0.43
1988,0.435,0.439,0.43
1989,0.448,0.468,0.44
1990,0.467,0.474,0.461
1991,0.554,0.555,0.55
1992,0.534,0.532,0.53
1993,0.533,0.518,0.53
1994,0.52,0.440,0.517
1995,0.502,0.477,0.495
1996,0.46,0.479,0.461
1997,0.482,0.477,0.477
1998,0.493,0.514,0.488
1999,0.5,0.54,0.494
2000,0.569,0.57,0.563
2001,0.589,0.601,0.584
2002,0.588,0.602,0.585
2003,0.59,0.59,0.588
2004,0.591,0.598,0.589
2005,0.559,0.595,0.558
2006,0.566,0.600,0.559
2007,0.593,0.615,0.58
2008,0.624,0.630,0.611
2009,0.58,0.602,0.575
2010,0.638,0.660,0.629
2011,0.6,0.61,0.59
2012,0.594,0.606,0.578
2013,0.592,0.598,0.572
2014,0.578,0.590,0.565
2015,0.548,0.566,0.54
2016,0.505,0.517,0.495
2017,0.455,0.467,0.45